epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,321.28,0.43408,1.06715,0.1718,0.40585,0.89207,0.96964,0.94863,0.98804,0.94478,0.90663,0.86634,0.82847,0.64203,0.28806,1.64827,0.0586,0.27411,0.67876,0.0010595,0.0010595,0.0010595
97,324.389,0.41617,0.9291,0.18296,0.42438,0.89629,0.96983,0.9547,0.98912,0.94465,0.90893,0.85149,0.81714,0.6488,0.27332,1.64406,0.05084,0.27159,0.67614,0.0010496,0.0010496,0.0010496
98,327.5,0.42318,1.07607,0.19981,0.39393,0.89762,0.97485,0.95952,0.99078,0.94602,0.89567,0.86139,0.81091,0.62448,0.26094,1.6396,0.04834,0.27504,0.67209,0.0010397,0.0010397,0.0010397
99,330.665,0.3978,1.02602,0.16394,0.38075,0.90479,0.98956,0.93803,0.97213,0.93913,0.906,0.85883,0.80951,0.62371,0.27781,1.64592,0.05196,0.2821,0.67209,0.0010298,0.0010298,0.0010298
100,333.761,0.40414,0.95713,0.18592,0.38002,0.89247,0.98866,0.94554,0.97816,0.9498,0.91338,0.86634,0.82356,0.64994,0.26982,1.64555,0.04549,0.2719,0.67073,0.0010199,0.0010199,0.0010199
101,337.018,0.40658,1.1164,0.1954,0.40707,0.88324,0.98816,0.94554,0.98906,0.95548,0.91107,0.86139,0.84718,0.68685,0.26099,1.64791,0.05153,0.26208,0.6723,0.00101,0.00101,0.00101
102,340.246,0.37946,1.1844,0.1949,0.40475,0.87526,0.96542,0.9674,0.98874,0.94205,0.91429,0.85644,0.81804,0.66904,0.28493,1.64347,0.06816,0.26265,0.67841,0.0010001,0.0010001,0.0010001
103,343.432,0.41413,0.94692,0.20339,0.40028,0.88072,0.98463,0.95114,0.98984,0.95249,0.94386,0.85149,0.88013,0.66489,0.27611,1.64678,0.07127,0.24643,0.67619,0.0009902,0.0009902,0.0009902
104,346.705,0.37166,0.96599,0.18249,0.35882,0.85928,0.96555,0.97127,0.99264,0.95428,0.92574,0.86139,0.87592,0.66165,0.26689,1.64079,0.07211,0.24409,0.673,0.0009803,0.0009803,0.0009803
105,349.969,0.41449,1.0865,0.18222,0.40145,0.88783,0.98775,0.93564,0.98776,0.95248,0.91623,0.86631,0.87733,0.68189,0.24458,1.64329,0.06758,0.25201,0.66959,0.0009704,0.0009704,0.0009704
106,353.15,0.38238,1.03525,0.19614,0.37581,0.86863,0.98162,0.94059,0.99188,0.95444,0.90337,0.85644,0.83164,0.64491,0.26471,1.63977,0.05393,0.26528,0.67206,0.0009605,0.0009605,0.0009605
107,356.311,0.39365,1.00391,0.17417,0.37011,0.88168,0.96674,0.97525,0.99319,0.96053,0.9107,0.85827,0.83358,0.68187,0.23594,1.64578,0.04837,0.24131,0.66537,0.0009506,0.0009506,0.0009506
108,359.446,0.38728,0.95291,0.20159,0.37562,0.88267,0.99257,0.9505,0.99129,0.96265,0.90574,0.86634,0.87224,0.72023,0.25305,1.63912,0.05049,0.23907,0.66618,0.0009407,0.0009407,0.0009407
109,362.7,0.37862,1.09083,0.19919,0.35507,0.87672,0.97408,0.94554,0.98999,0.95392,0.91724,0.85644,0.87384,0.719,0.25451,1.63658,0.04786,0.24295,0.66511,0.0009308,0.0009308,0.0009308
110,365.872,0.38284,1.00764,0.19809,0.3989,0.89195,0.97299,0.94059,0.97514,0.93812,0.89578,0.86634,0.80976,0.63744,0.25536,1.64348,0.04102,0.26835,0.66916,0.0009209,0.0009209,0.0009209
111,369.052,0.36001,0.96898,0.17619,0.3675,0.86881,0.98467,0.95425,0.9858,0.95594,0.90202,0.86634,0.86661,0.7138,0.24739,1.64719,0.04037,0.23191,0.66813,0.000911,0.000911,0.000911
112,372.143,0.37912,1.18133,0.16544,0.38455,0.88204,0.96552,0.97525,0.99043,0.95998,0.92003,0.85149,0.88629,0.72128,0.25232,1.64713,0.04775,0.25189,0.66692,0.0009011,0.0009011,0.0009011
113,375.374,0.37376,0.98528,0.14903,0.36544,0.86186,0.99822,0.93564,0.99088,0.95684,0.90666,0.86557,0.81524,0.64999,0.25447,1.64357,0.04816,0.24858,0.67088,0.0008912,0.0008912,0.0008912
114,378.665,0.36655,0.90598,0.16595,0.36081,0.87772,0.9646,0.97525,0.98851,0.95533,0.91623,0.86631,0.85612,0.6555,0.26097,1.64488,0.04478,0.25164,0.66784,0.0008813,0.0008813,0.0008813
115,381.872,0.37192,0.97805,0.19527,0.37443,0.88162,0.9846,0.94942,0.99185,0.95928,0.92087,0.86421,0.84236,0.64611,0.24738,1.63827,0.0599,0.23174,0.66703,0.0008714,0.0008714,0.0008714
116,385.281,0.34352,1.01668,0.14737,0.34283,0.8603,0.9741,0.98515,0.99364,0.95829,0.91398,0.86634,0.83804,0.64275,0.23722,1.62762,0.07898,0.22251,0.66644,0.0008615,0.0008615,0.0008615
